sw_lon,sw_lat,ne_lon,ne_lat,region
170,-85,175,-80,Antarctica
175,-85,180,-80,Antarctica
-180,-80,-175,-75,Antarctica
-175,-80,-170,-75,Antarctica
-170,-80,-165,-75,Antarctica
-165,-80,-160,-75,Antarctica
-160,-80,-155,-75,Antarctica
-155,-80,-150,-75,Antarctica
-150,-80,-145,-75,Antarctica
-145,-80,-140,-75,Antarctica
-140,-80,-135,-75,Antarctica
-135,-80,-130,-75,Antarctica
-130,-80,-125,-75,Antarctica
-125,-80,-120,-75,Antarctica
-120,-80,-115,-75,Antarctica
-115,-80,-110,-75,Antarctica
-110,-80,-105,-75,Antarctica
-105,-80,-100,-75,Antarctica
-100,-80,-95,-75,Antarctica
-95,-80,-90,-75,Antarctica
-90,-80,-85,-75,Antarctica
-85,-80,-80,-75,Antarctica
-80,-80,-75,-75,Antarctica
-75,-80,-70,-75,Antarctica
-70,-80,-65,-75,Antarctica
-65,-80,-60,-75,Antarctica
-60,-80,-55,-75,Antarctica
-55,-80,-50,-75,Antarctica
-50,-80,-45,-75,Antarctica
-45,-80,-40,-75,Antarctica
-40,-80,-35,-75,Antarctica
-35,-80,-30,-75,Antarctica
-30,-80,-25,-75,Antarctica
-25,-80,-20,-75,Antarctica
-20,-80,-15,-75,Antarctica
-15,-80,-10,-75,Antarctica
-10,-80,-5,-75,Antarctica
-5,-80,0,-75,Antarctica
0,-80,5,-75,Antarctica
5,-80,10,-75,Antarctica
10,-80,15,-75,Antarctica
15,-80,20,-75,Antarctica
20,-80,25,-75,Antarctica
25,-80,30,-75,Antarctica
30,-80,35,-75,Antarctica
35,-80,40,-75,Antarctica
40,-80,45,-75,Antarctica
45,-80,50,-75,Antarctica
50,-80,55,-75,Antarctica
55,-80,60,-75,Antarctica
60,-80,65,-75,Antarctica
65,-80,70,-75,Antarctica
70,-80,75,-75,Antarctica
75,-80,80,-75,Antarctica
80,-80,85,-75,Antarctica
85,-80,90,-75,Antarctica
90,-80,95,-75,Antarctica
95,-80,100,-75,Antarctica
100,-80,105,-75,Antarctica
105,-80,110,-75,Antarctica
110,-80,115,-75,Antarctica
115,-80,120,-75,Antarctica
120,-80,125,-75,Antarctica
125,-80,130,-75,Antarctica
130,-80,135,-75,Antarctica
135,-80,140,-75,Antarctica
140,-80,145,-75,Antarctica
145,-80,150,-75,Antarctica
150,-80,155,-75,Antarctica
155,-80,160,-75,Antarctica
160,-80,165,-75,Antarctica
165,-80,170,-75,Antarctica
170,-80,175,-75,Antarctica
175,-80,180,-75,Antarctica
-180,-75,-175,-70,Antarctica
-175,-75,-170,-70,Antarctica
-170,-75,-165,-70,Antarctica
-165,-75,-160,-70,Antarctica
-160,-75,-155,-70,Antarctica
-155,-75,-150,-70,Antarctica
-150,-75,-145,-70,Antarctica
-145,-75,-140,-70,Antarctica
-140,-75,-135,-70,Antarctica
-135,-75,-130,-70,Antarctica
-130,-75,-125,-70,Antarctica
-125,-75,-120,-70,Antarctica
-120,-75,-115,-70,Antarctica
-115,-75,-110,-70,Antarctica
-110,-75,-105,-70,Antarctica
-105,-75,-100,-70,Antarctica
-100,-75,-95,-70,Antarctica
-95,-75,-90,-70,Antarctica
-90,-75,-85,-70,Antarctica
-85,-75,-80,-70,Antarctica
-80,-75,-75,-70,Antarctica
-75,-75,-70,-70,Antarctica
-70,-75,-65,-70,Antarctica
-65,-75,-60,-70,Antarctica
-60,-75,-55,-70,Antarctica
-55,-75,-50,-70,Antarctica
-50,-75,-45,-70,Antarctica
-45,-75,-40,-70,Antarctica
-40,-75,-35,-70,Antarctica
-35,-75,-30,-70,Antarctica
-30,-75,-25,-70,Antarctica
-25,-75,-20,-70,Antarctica
-20,-75,-15,-70,Antarctica
-15,-75,-10,-70,Antarctica
-10,-75,-5,-70,Antarctica
-5,-75,0,-70,Antarctica
0,-75,5,-70,Antarctica
5,-75,10,-70,Antarctica
10,-75,15,-70,Antarctica
15,-75,20,-70,Antarctica
20,-75,25,-70,Antarctica
25,-75,30,-70,Antarctica
30,-75,35,-70,Antarctica
35,-75,40,-70,Antarctica
40,-75,45,-70,Antarctica
45,-75,50,-70,Antarctica
50,-75,55,-70,Antarctica
55,-75,60,-70,Antarctica
60,-75,65,-70,Antarctica
65,-75,70,-70,Antarctica
70,-75,75,-70,Antarctica
75,-75,80,-70,Antarctica
80,-75,85,-70,Antarctica
85,-75,90,-70,Antarctica
90,-75,95,-70,Antarctica
95,-75,100,-70,Antarctica
100,-75,105,-70,Antarctica
105,-75,110,-70,Antarctica
110,-75,115,-70,Antarctica
115,-75,120,-70,Antarctica
120,-75,125,-70,Antarctica
125,-75,130,-70,Antarctica
130,-75,135,-70,Antarctica
135,-75,140,-70,Antarctica
140,-75,145,-70,Antarctica
145,-75,150,-70,Antarctica
150,-75,155,-70,Antarctica
155,-75,160,-70,Antarctica
160,-75,165,-70,Antarctica
165,-75,170,-70,Antarctica
170,-75,175,-70,Antarctica
175,-75,180,-70,Antarctica
-180,-70,-175,-65,Antarctica
-175,-70,-170,-65,Antarctica
-170,-70,-165,-65,Antarctica
-165,-70,-160,-65,Antarctica
-160,-70,-155,-65,Antarctica
-155,-70,-150,-65,Antarctica
-150,-70,-145,-65,Antarctica
-145,-70,-140,-65,Antarctica
-140,-70,-135,-65,Antarctica
-135,-70,-130,-65,Antarctica
-130,-70,-125,-65,Antarctica
-125,-70,-120,-65,Antarctica
-120,-70,-115,-65,Antarctica
-115,-70,-110,-65,Antarctica
-110,-70,-105,-65,Antarctica
-105,-70,-100,-65,Antarctica
-100,-70,-95,-65,Antarctica
-95,-70,-90,-65,Antarctica
-90,-70,-85,-65,Antarctica
-85,-70,-80,-65,Antarctica
-80,-70,-75,-65,Antarctica
-75,-70,-70,-65,Antarctica
-70,-70,-65,-65,Antarctica
-65,-70,-60,-65,Antarctica
-60,-70,-55,-65,Antarctica
-55,-70,-50,-65,Antarctica
-50,-70,-45,-65,Antarctica
-45,-70,-40,-65,Antarctica
-40,-70,-35,-65,Antarctica
-35,-70,-30,-65,Antarctica
-30,-70,-25,-65,Antarctica
-25,-70,-20,-65,Antarctica
-20,-70,-15,-65,Antarctica
-15,-70,-10,-65,Antarctica
-10,-70,-5,-65,Antarctica
-5,-70,0,-65,Antarctica
0,-70,5,-65,Antarctica
5,-70,10,-65,Antarctica
10,-70,15,-65,Antarctica
15,-70,20,-65,Antarctica
20,-70,25,-65,Antarctica
25,-70,30,-65,Antarctica
30,-70,35,-65,Antarctica
35,-70,40,-65,Antarctica
40,-70,45,-65,Antarctica
45,-70,50,-65,Antarctica
50,-70,55,-65,Antarctica
55,-70,60,-65,Antarctica
60,-70,65,-65,Antarctica
65,-70,70,-65,Antarctica
70,-70,75,-65,Antarctica
75,-70,80,-65,Antarctica
80,-70,85,-65,Antarctica
85,-70,90,-65,Antarctica
90,-70,95,-65,Antarctica
95,-70,100,-65,Antarctica
100,-70,105,-65,Antarctica
105,-70,110,-65,Antarctica
110,-70,115,-65,Antarctica
115,-70,120,-65,Antarctica
120,-70,125,-65,Antarctica
125,-70,130,-65,Antarctica
130,-70,135,-65,Antarctica
135,-70,140,-65,Antarctica
140,-70,145,-65,Antarctica
145,-70,150,-65,Antarctica
150,-70,155,-65,Antarctica
155,-70,160,-65,Antarctica
160,-70,165,-65,Antarctica
165,-70,170,-65,Antarctica
170,-70,175,-65,Antarctica
175,-70,180,-65,Antarctica
-180,-65,-175,-60,Antarctica
-175,-65,-170,-60,Antarctica
-170,-65,-165,-60,Antarctica
-165,-65,-160,-60,Antarctica
-160,-65,-155,-60,Antarctica
-155,-65,-150,-60,Antarctica
-150,-65,-145,-60,Antarctica
-145,-65,-140,-60,Antarctica
-140,-65,-135,-60,Antarctica
-135,-65,-130,-60,Antarctica
-130,-65,-125,-60,Antarctica
-125,-65,-120,-60,Antarctica
-120,-65,-115,-60,Antarctica
-115,-65,-110,-60,Antarctica
-110,-65,-105,-60,Antarctica
-105,-65,-100,-60,Antarctica
-100,-65,-95,-60,Antarctica
-95,-65,-90,-60,Antarctica
-90,-65,-85,-60,Antarctica
-85,-65,-80,-60,Antarctica
-80,-65,-75,-60,Antarctica
-75,-65,-70,-60,Antarctica
-70,-65,-65,-60,Antarctica
-65,-65,-60,-60,Antarctica
-60,-65,-55,-60,Antarctica
-55,-65,-50,-60,Antarctica
-50,-65,-45,-60,Antarctica
-45,-65,-40,-60,Antarctica
-40,-65,-35,-60,Antarctica
-35,-65,-30,-60,Antarctica
-30,-65,-25,-60,Antarctica
-25,-65,-20,-60,Antarctica
-20,-65,-15,-60,Antarctica
-15,-65,-10,-60,Antarctica
-10,-65,-5,-60,Antarctica
-5,-65,0,-60,Antarctica
0,-65,5,-60,Antarctica
5,-65,10,-60,Antarctica
10,-65,15,-60,Antarctica
15,-65,20,-60,Antarctica
20,-65,25,-60,Antarctica
25,-65,30,-60,Antarctica
30,-65,35,-60,Antarctica
35,-65,40,-60,Antarctica
40,-65,45,-60,Antarctica
45,-65,50,-60,Antarctica
50,-65,55,-60,Antarctica
55,-65,60,-60,Antarctica
60,-65,65,-60,Antarctica
65,-65,70,-60,Antarctica
70,-65,75,-60,Antarctica
75,-65,80,-60,Antarctica
80,-65,85,-60,Antarctica
85,-65,90,-60,Antarctica
90,-65,95,-60,Antarctica
95,-65,100,-60,Antarctica
100,-65,105,-60,Antarctica
105,-65,110,-60,Antarctica
110,-65,115,-60,Antarctica
115,-65,120,-60,Antarctica
120,-65,125,-60,Antarctica
125,-65,130,-60,Antarctica
130,-65,135,-60,Antarctica
135,-65,140,-60,Antarctica
140,-65,145,-60,Antarctica
145,-65,150,-60,Antarctica
150,-65,155,-60,Antarctica
155,-65,160,-60,Antarctica
160,-65,165,-60,Antarctica
165,-65,170,-60,Antarctica
170,-65,175,-60,Antarctica
175,-65,180,-60,Antarctica
-180,-60,-175,-55,Pacific Ocean
-175,-60,-170,-55,Pacific Ocean
-170,-60,-165,-55,Pacific Ocean
-165,-60,-160,-55,Pacific Ocean
-160,-60,-155,-55,Pacific Ocean
-155,-60,-150,-55,Pacific Ocean
-150,-60,-145,-55,Pacific Ocean
-145,-60,-140,-55,Pacific Ocean
-140,-60,-135,-55,Pacific Ocean
-135,-60,-130,-55,Pacific Ocean
-130,-60,-125,-55,Pacific Ocean
-125,-60,-120,-55,Pacific Ocean
-120,-60,-115,-55,Pacific Ocean
-115,-60,-110,-55,Pacific Ocean
-110,-60,-105,-55,Pacific Ocean
-105,-60,-100,-55,Pacific Ocean
-100,-60,-95,-55,Pacific Ocean
-95,-60,-90,-55,Pacific Ocean
-90,-60,-85,-55,Atlantic Ocean
-85,-60,-80,-55,South America
-80,-60,-75,-55,South America
-75,-60,-70,-55,South America
-70,-60,-65,-55,South America
-65,-60,-60,-55,South America
-60,-60,-55,-55,South America
-55,-60,-50,-55,South America
-50,-60,-45,-55,South America
-45,-60,-40,-55,South America
-40,-60,-35,-55,South America
-35,-60,-30,-55,South America
-30,-60,-25,-55,Atlantic Ocean
-25,-60,-20,-55,Atlantic Ocean
-20,-60,-15,-55,Atlantic Ocean
-15,-60,-10,-55,Atlantic Ocean
-10,-60,-5,-55,Atlantic Ocean
-5,-60,0,-55,Atlantic Ocean
0,-60,5,-55,Atlantic Ocean
5,-60,10,-55,Atlantic Ocean
10,-60,15,-55,Atlantic Ocean
15,-60,20,-55,Atlantic Ocean
20,-60,25,-55,Atlantic Ocean
25,-60,30,-55,Indian Ocean
30,-60,35,-55,Indian Ocean
35,-60,40,-55,Indian Ocean
40,-60,45,-55,Indian Ocean
45,-60,50,-55,Indian Ocean
50,-60,55,-55,Indian Ocean
55,-60,60,-55,Indian Ocean
60,-60,65,-55,Indian Ocean
65,-60,70,-55,Indian Ocean
70,-60,75,-55,Indian Ocean
75,-60,80,-55,Indian Ocean
80,-60,85,-55,Pacific Ocean
85,-60,90,-55,Pacific Ocean
90,-60,95,-55,Pacific Ocean
95,-60,100,-55,Pacific Ocean
100,-60,105,-55,Pacific Ocean
105,-60,110,-55,Pacific Ocean
110,-60,115,-55,Pacific Ocean
115,-60,120,-55,Pacific Ocean
120,-60,125,-55,Pacific Ocean
125,-60,130,-55,Pacific Ocean
130,-60,135,-55,Pacific Ocean
135,-60,140,-55,Pacific Ocean
140,-60,145,-55,Pacific Ocean
145,-60,150,-55,Pacific Ocean
150,-60,155,-55,Pacific Ocean
155,-60,160,-55,Pacific Ocean
160,-60,165,-55,Pacific Ocean
165,-60,170,-55,Pacific Ocean
170,-60,175,-55,Pacific Ocean
175,-60,180,-55,Pacific Ocean
-180,-55,-175,-50,Pacific Ocean
-175,-55,-170,-50,Pacific Ocean
-170,-55,-165,-50,Pacific Ocean
-165,-55,-160,-50,Pacific Ocean
-160,-55,-155,-50,Pacific Ocean
-155,-55,-150,-50,Pacific Ocean
-150,-55,-145,-50,Pacific Ocean
-145,-55,-140,-50,Pacific Ocean
-140,-55,-135,-50,Pacific Ocean
-135,-55,-130,-50,Pacific Ocean
-130,-55,-125,-50,Pacific Ocean
-125,-55,-120,-50,Pacific Ocean
-120,-55,-115,-50,Pacific Ocean
-115,-55,-110,-50,Pacific Ocean
-110,-55,-105,-50,Pacific Ocean
-105,-55,-100,-50,Pacific Ocean
-100,-55,-95,-50,Pacific Ocean
-95,-55,-90,-50,Pacific Ocean
-90,-55,-85,-50,Atlantic Ocean
-85,-55,-80,-50,South America
-80,-55,-75,-50,South America
-75,-55,-70,-50,South America
-70,-55,-65,-50,South America
-65,-55,-60,-50,South America
-60,-55,-55,-50,South America
-55,-55,-50,-50,South America
-50,-55,-45,-50,South America
-45,-55,-40,-50,South America
-40,-55,-35,-50,South America
-35,-55,-30,-50,South America
-30,-55,-25,-50,Atlantic Ocean
-25,-55,-20,-50,Atlantic Ocean
-20,-55,-15,-50,Atlantic Ocean
-15,-55,-10,-50,Atlantic Ocean
-10,-55,-5,-50,Atlantic Ocean
-5,-55,0,-50,Atlantic Ocean
0,-55,5,-50,Atlantic Ocean
5,-55,10,-50,Atlantic Ocean
10,-55,15,-50,Atlantic Ocean
15,-55,20,-50,Atlantic Ocean
20,-55,25,-50,Atlantic Ocean
25,-55,30,-50,Indian Ocean
30,-55,35,-50,Indian Ocean
35,-55,40,-50,Indian Ocean
40,-55,45,-50,Indian Ocean
45,-55,50,-50,Indian Ocean
50,-55,55,-50,Indian Ocean
55,-55,60,-50,Indian Ocean
60,-55,65,-50,Indian Ocean
65,-55,70,-50,Indian Ocean
70,-55,75,-50,Indian Ocean
75,-55,80,-50,Indian Ocean
80,-55,85,-50,Pacific Ocean
85,-55,90,-50,Pacific Ocean
90,-55,95,-50,Pacific Ocean
95,-55,100,-50,Pacific Ocean
100,-55,105,-50,Pacific Ocean
105,-55,110,-50,Pacific Ocean
110,-55,115,-50,Pacific Ocean
115,-55,120,-50,Pacific Ocean
120,-55,125,-50,Pacific Ocean
125,-55,130,-50,Pacific Ocean
130,-55,135,-50,Pacific Ocean
135,-55,140,-50,Pacific Ocean
140,-55,145,-50,Pacific Ocean
145,-55,150,-50,Pacific Ocean
150,-55,155,-50,Pacific Ocean
155,-55,160,-50,Pacific Ocean
160,-55,165,-50,Pacific Ocean
165,-55,170,-50,Pacific Ocean
170,-55,175,-50,Pacific Ocean
175,-55,180,-50,Pacific Ocean
-180,-50,-175,-45,Pacific Ocean
-175,-50,-170,-45,Pacific Ocean
-170,-50,-165,-45,Pacific Ocean
-165,-50,-160,-45,Pacific Ocean
-160,-50,-155,-45,Pacific Ocean
-155,-50,-150,-45,Pacific Ocean
-150,-50,-145,-45,Pacific Ocean
-145,-50,-140,-45,Pacific Ocean
-140,-50,-135,-45,Pacific Ocean
-135,-50,-130,-45,Pacific Ocean
-130,-50,-125,-45,Pacific Ocean
-125,-50,-120,-45,Pacific Ocean
-120,-50,-115,-45,Pacific Ocean
-115,-50,-110,-45,Pacific Ocean
-110,-50,-105,-45,Pacific Ocean
-105,-50,-100,-45,Pacific Ocean
-100,-50,-95,-45,Pacific Ocean
-95,-50,-90,-45,Pacific Ocean
-90,-50,-85,-45,Atlantic Ocean
-85,-50,-80,-45,South America
-80,-50,-75,-45,South America
-75,-50,-70,-45,South America
-70,-50,-65,-45,South America
-65,-50,-60,-45,South America
-60,-50,-55,-45,South America
-55,-50,-50,-45,South America
-50,-50,-45,-45,South America
-45,-50,-40,-45,South America
-40,-50,-35,-45,South America
-35,-50,-30,-45,South America
-30,-50,-25,-45,Atlantic Ocean
-25,-50,-20,-45,Atlantic Ocean
-20,-50,-15,-45,Atlantic Ocean
-15,-50,-10,-45,Atlantic Ocean
-10,-50,-5,-45,Atlantic Ocean
-5,-50,0,-45,Atlantic Ocean
0,-50,5,-45,Atlantic Ocean
5,-50,10,-45,Atlantic Ocean
10,-50,15,-45,Atlantic Ocean
15,-50,20,-45,Atlantic Ocean
20,-50,25,-45,Atlantic Ocean
25,-50,30,-45,Indian Ocean
30,-50,35,-45,Indian Ocean
35,-50,40,-45,Indian Ocean
40,-50,45,-45,Indian Ocean
45,-50,50,-45,Indian Ocean
50,-50,55,-45,Indian Ocean
55,-50,60,-45,Indian Ocean
60,-50,65,-45,Indian Ocean
65,-50,70,-45,Indian Ocean
70,-50,75,-45,Indian Ocean
75,-50,80,-45,Indian Ocean
80,-50,85,-45,Pacific Ocean
85,-50,90,-45,Pacific Ocean
90,-50,95,-45,Pacific Ocean
95,-50,100,-45,Pacific Ocean
100,-50,105,-45,Pacific Ocean
105,-50,110,-45,Pacific Ocean
110,-50,115,-45,Pacific Ocean
115,-50,120,-45,Pacific Ocean
120,-50,125,-45,Pacific Ocean
125,-50,130,-45,Pacific Ocean
130,-50,135,-45,Pacific Ocean
135,-50,140,-45,Pacific Ocean
140,-50,145,-45,Pacific Ocean
145,-50,150,-45,Pacific Ocean
150,-50,155,-45,Pacific Ocean
155,-50,160,-45,Pacific Ocean
160,-50,165,-45,New Zealand & Pacific
165,-50,170,-45,New Zealand & Pacific
170,-50,175,-45,New Zealand & Pacific
175,-50,180,-45,New Zealand & Pacific
-180,-45,-175,-40,Pacific Ocean
-175,-45,-170,-40,Pacific Ocean
-170,-45,-165,-40,Pacific Ocean
-165,-45,-160,-40,Pacific Ocean
-160,-45,-155,-40,Pacific Ocean
-155,-45,-150,-40,Pacific Ocean
-150,-45,-145,-40,Pacific Ocean
-145,-45,-140,-40,Pacific Ocean
-140,-45,-135,-40,Pacific Ocean
-135,-45,-130,-40,Pacific Ocean
-130,-45,-125,-40,Pacific Ocean
-125,-45,-120,-40,Pacific Ocean
-120,-45,-115,-40,Pacific Ocean
-115,-45,-110,-40,Pacific Ocean
-110,-45,-105,-40,Pacific Ocean
-105,-45,-100,-40,Pacific Ocean
-100,-45,-95,-40,Pacific Ocean
-95,-45,-90,-40,Pacific Ocean
-90,-45,-85,-40,Atlantic Ocean
-85,-45,-80,-40,South America
-80,-45,-75,-40,South America
-75,-45,-70,-40,South America
-70,-45,-65,-40,South America
-65,-45,-60,-40,South America
-60,-45,-55,-40,South America
-55,-45,-50,-40,South America
-50,-45,-45,-40,South America
-45,-45,-40,-40,South America
-40,-45,-35,-40,South America
-35,-45,-30,-40,South America
-30,-45,-25,-40,Atlantic Ocean
-25,-45,-20,-40,Atlantic Ocean
-20,-45,-15,-40,Atlantic Ocean
-15,-45,-10,-40,Atlantic Ocean
-10,-45,-5,-40,Atlantic Ocean
-5,-45,0,-40,Atlantic Ocean
0,-45,5,-40,Atlantic Ocean
5,-45,10,-40,Atlantic Ocean
10,-45,15,-40,Atlantic Ocean
15,-45,20,-40,Atlantic Ocean
20,-45,25,-40,Atlantic Ocean
25,-45,30,-40,Indian Ocean
30,-45,35,-40,Indian Ocean
35,-45,40,-40,Indian Ocean
40,-45,45,-40,Indian Ocean
45,-45,50,-40,Indian Ocean
50,-45,55,-40,Indian Ocean
55,-45,60,-40,Indian Ocean
60,-45,65,-40,Indian Ocean
65,-45,70,-40,Indian Ocean
70,-45,75,-40,Indian Ocean
75,-45,80,-40,Indian Ocean
80,-45,85,-40,Pacific Ocean
85,-45,90,-40,Pacific Ocean
90,-45,95,-40,Pacific Ocean
95,-45,100,-40,Pacific Ocean
100,-45,105,-40,Pacific Ocean
105,-45,110,-40,Pacific Ocean
110,-45,115,-40,Australia
115,-45,120,-40,Australia
120,-45,125,-40,Australia
125,-45,130,-40,Australia
130,-45,135,-40,Australia
135,-45,140,-40,Australia
140,-45,145,-40,Australia
145,-45,150,-40,Australia
150,-45,155,-40,Australia
155,-45,160,-40,Pacific Ocean
160,-45,165,-40,New Zealand & Pacific
165,-45,170,-40,New Zealand & Pacific
170,-45,175,-40,New Zealand & Pacific
175,-45,180,-40,New Zealand & Pacific
-180,-40,-175,-35,Pacific Ocean
-175,-40,-170,-35,Pacific Ocean
-170,-40,-165,-35,Pacific Ocean
-165,-40,-160,-35,Pacific Ocean
-160,-40,-155,-35,Pacific Ocean
-155,-40,-150,-35,Pacific Ocean
-150,-40,-145,-35,Pacific Ocean
-145,-40,-140,-35,Pacific Ocean
-140,-40,-135,-35,Pacific Ocean
-135,-40,-130,-35,Pacific Ocean
-130,-40,-125,-35,Pacific Ocean
-125,-40,-120,-35,Pacific Ocean
-120,-40,-115,-35,Pacific Ocean
-115,-40,-110,-35,Pacific Ocean
-110,-40,-105,-35,Pacific Ocean
-105,-40,-100,-35,Pacific Ocean
-100,-40,-95,-35,Pacific Ocean
-95,-40,-90,-35,Pacific Ocean
-90,-40,-85,-35,Atlantic Ocean
-85,-40,-80,-35,South America
-80,-40,-75,-35,South America
-75,-40,-70,-35,South America
-70,-40,-65,-35,South America
-65,-40,-60,-35,South America
-60,-40,-55,-35,South America
-55,-40,-50,-35,South America
-50,-40,-45,-35,South America
-45,-40,-40,-35,South America
-40,-40,-35,-35,South America
-35,-40,-30,-35,South America
-30,-40,-25,-35,Atlantic Ocean
-25,-40,-20,-35,Atlantic Ocean
-20,-40,-15,-35,Africa
-15,-40,-10,-35,Africa
-10,-40,-5,-35,Africa
-5,-40,0,-35,Africa
0,-40,5,-35,Africa
5,-40,10,-35,Africa
10,-40,15,-35,Africa
15,-40,20,-35,Africa
20,-40,25,-35,Africa
25,-40,30,-35,Africa
30,-40,35,-35,Africa
35,-40,40,-35,Africa
40,-40,45,-35,Africa
45,-40,50,-35,Africa
50,-40,55,-35,Africa
55,-40,60,-35,Indian Ocean
60,-40,65,-35,Indian Ocean
65,-40,70,-35,Indian Ocean
70,-40,75,-35,Indian Ocean
75,-40,80,-35,Indian Ocean
80,-40,85,-35,Pacific Ocean
85,-40,90,-35,Pacific Ocean
90,-40,95,-35,Pacific Ocean
95,-40,100,-35,Pacific Ocean
100,-40,105,-35,Pacific Ocean
105,-40,110,-35,Pacific Ocean
110,-40,115,-35,Australia
115,-40,120,-35,Australia
120,-40,125,-35,Australia
125,-40,130,-35,Australia
130,-40,135,-35,Australia
135,-40,140,-35,Australia
140,-40,145,-35,Australia
145,-40,150,-35,Australia
